"","id","state","period","nth","date","url"
"48","bb_3_66","bb",3,66,2002-11-14,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w3/plpr/66.pdf"
"49","bb_3_67","bb",3,67,2002-12-18,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w3/plpr/67.pdf"
"50","bb_3_68","bb",3,68,2002-12-19,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w3/plpr/68.pdf"
"51","bb_3_69","bb",3,69,2003-01-29,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w3/plpr/69.pdf"
"52","bb_3_7","bb",3,7,2000-01-26,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w3/plpr/7.pdf"
"53","bb_3_70","bb",3,70,2003-01-17,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w3/plpr/70.pdf"
"54","bb_3_71","bb",3,71,2003-03-05,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w3/plpr/71.pdf"
"55","bb_3_72","bb",3,72,2003-03-06,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w3/plpr/72.pdf"
"56","bb_3_73","bb",3,73,2003-04-09,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w3/plpr/73.pdf"
"57","bb_3_74","bb",3,74,2003-04-10,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w3/plpr/74.pdf"
"58","bb_3_75","bb",3,75,2003-05-21,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w3/plpr/75.pdf"
"59","bb_3_76","bb",3,76,2003-05-22,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w3/plpr/76.pdf"
"60","bb_3_77","bb",3,77,2003-06-25,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w3/plpr/77.pdf"
"61","bb_3_78","bb",3,78,2003-06-26,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w3/plpr/78.pdf"
"62","bb_3_79","bb",3,79,2003-08-27,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w3/plpr/79.pdf"
"63","bb_3_8","bb",3,8,2000-01-27,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w3/plpr/8.pdf"
"64","bb_3_80","bb",3,80,2003-08-28,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w3/plpr/80.pdf"
"65","bb_3_82","bb",3,82,2003-09-24,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w3/plpr/82.pdf"
"66","bb_3_83","bb",3,83,2003-09-25,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w3/plpr/83.pdf"
"67","bb_3_84","bb",3,84,2003-11-05,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w3/plpr/84.pdf"
"68","bb_3_85","bb",3,85,2003-11-06,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w3/plpr/85.pdf"
"69","bb_3_86","bb",3,86,2003-12-11,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w3/plpr/86teil2.pdf"
"70","bb_3_89","bb",3,89,2004-01-28,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w3/plpr/89.pdf"
"71","bb_3_9","bb",3,9,2000-02-23,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w3/plpr/9.pdf"
"72","bb_3_90","bb",3,90,2003-11-12,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w3/plpr/90.pdf"
"73","bb_3_91","bb",3,91,2004-03-03,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w3/plpr/91.pdf"
"74","bb_3_92","bb",3,92,2004-03-04,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w3/plpr/92.pdf"
"75","bb_3_93","bb",3,93,2004-03-31,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w3/plpr/93.pdf"
"76","bb_3_94","bb",3,94,2004-04-01,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w3/plpr/94.pdf"
"77","bb_3_95","bb",3,95,2004-05-12,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w3/plpr/95.pdf"
"78","bb_3_96","bb",3,96,2004-05-13,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w3/plpr/96.pdf"
"79","bb_3_97","bb",3,97,2004-06-16,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w3/plpr/97.pdf"
