speaker,party,adjectives,text_preview,adjectives_str
Robert Lambrou,AfD,"['humanitäre', 'qualifizierte', 'falsch']"," 
Erst einmal abwarten, was Sie noch zu sagen haben! 
Wir wollen Sie nicht kompromittieren!) 

Was macht eine moderne Migrationspolitik aus?  Asyl für 
politisch Verfolgte, humanitäre Aufnahme von Bü","humanitäre, qualifizierte, falsch"
Marcus Bocklet,GRUENE,['gute']," 

Hochverehrter Herr Präsident, meine sehr verehrten Damen 
und Herren, liebe Kolleginnen und Kollegen! Ich 
glaube, die Kollegin Müller hat einen sehr spannenden 
Satz gesagt, der eigentlich die Deb",gute
Jan Schalauske,LINKE,['sicheren']," Das erlaubt die CDU nicht!) 

Meine sehr verehrten Damen und Herren, Gewalt gegen 
Frauen ist in der Tat ein Problem, das oft hinter verschlossenen 
Türen stattfindet  in den eigenen, vermeintlich s",sicheren
Hermann Schaus,LINKE,"['abgelehnt', 'wichtige']"," So ist es!) 

Allein der Büroleerstand in Frankfurt wurde im Jahr 2016 
mit fast 1 Million m2 
mehr angegeben, als in der offiziellen 
Statistik ausgewiesen. Entweder wissen Sie, Herr Al-Wazir, 
es n","abgelehnt, wichtige"
Michael Boddenberg,CDU,['falsche']," Ihre privaten Geschichten 
wollen wir nicht hören!) 

Wenn mir irgendeiner ein Förderprogramm ins Ohr flüstert, 
mit dem ich Wohnraum schaffen kann und auch noch 
die Förderung erhalte, dann wäre es ",falsche
Elke Barth,SPD,['humanitären']," 

Herr Präsident, meine Damen und Herren! Herr Lenders, 
zunächst einmal möchte ich Ihnen ausdrücklich danken, 
dass Sie klargestellt haben, dass unsere aktuelle Wohnungsnot 
nichts, aber auch gar ni",humanitären
Klaus Gagel,AfD,['gute']," 

Herr Präsident, verehrte Kollegen! Ich muss doch noch auf 
die Ausführungen von Herrn Lenders eingehen. Herr Lenders, 
Sie haben eben eine schöne Rede gehalten, bei der 
Sie sich mit der Erwähnung ",gute
Gerhard Schenk,AfD,"['gut', 'kriminell']"," 

Herr Präsident, verehrte Damen und Herren, werte Besucher 
auf der Tribüne! Der tiefere Sinn hinter dem Antrag 
der SPD-Fraktion mit dem Titel Pakt für den Rechtsstaat 
aus dem Koalitionsvertrag ","gut, kriminell"
Turgut Yüksel,SPD,['ausreisepflichtige']," Worum geht es hier?) 

Behörden, Polizei und Gerichte werden durch diese Asylverfahren 
und importierte Kriminalität völlig überlastet. 
Mit Drehtüreffekt werden alle Instanzen durchlaufen, ohne 
Kon",ausreisepflichtige
Eva Goldbach,GRUENE,"['qualifiziert', 'abgelehnt', 'gut', 'gut', 'gut', 'gute']"," 

Sehr geehrter Herr Präsident, liebe Kolleginnen und Kollegen! 
Erst einmal herzlichen Dank an Frau Kollegin Strube, 
die neue Ausschussvorsitzende, für die Vorstellung des Berichts. 

(Beifall SPD)","qualifiziert, abgelehnt, gut, gut, gut, gute"
Oliver Ulloth,SPD,"['guten', 'gute', 'gut', 'wichtige', 'wichtige', 'wichtig', 'wichtig']"," 

Wir setzen an dieser Stelle auf Gemeinsamkeit und laden 
Sie ein. Wir hoffen, dass wir uns gemeinsam auf den Weg 
machen können, dort etwas zu erarbeiten. Uns im Petitionsausschuss 
unterscheidet v","guten, gute, gut, wichtige, wichtige, wichtig, wichtig"
Volker Richter,AfD,"['gefährlich', 'notwendig', 'wichtig']"," 

Sehr geehrter Herr Präsident, meine sehr verehrten Damen 
und Herren! Zur Bundesratsinitiative zum Verbot von Konversionstherapien 
sind in dem Entschließungsantrag von 
CDU und BÜNDNIS 90/DIE GRÜN","gefährlich, notwendig, wichtig"
Kai Klose,GRUENE,['gute']," Ei, so 
was!) 

Ich selbst habe Tanja Brühl als Dozentin an der Uni kennengelernt. 
Ich habe auch bei ihr Seminare besucht. Später 
habe ich sie als Vizepräsidentin der Goethe-Uni Frankfurt 
erlebt, ",gute
Janine Wissler,LINKE,['sicher']," Was?) 

Dort hat der französische Premier Edouard Philippe seine 
Behörden und Ministerien angewiesen, die geschlechtergerechte 
Sprache ab dem Jahr 2017 nicht mehr anzuwenden, 
und das, obwohl gerad",sicher
Peter Kaufmann,GRUENE,"['falsch', 'problematischen', 'wichtigen', 'falsch', 'abgelehnt', 'gute']"," 
Hä?) 

Richtig müsste es lauten: Nur ein starkes und erfolgreiches 
Europa kann ein soziales Europa sein. 

(Beifall AfD) 

Wenn man das so auf seine Fahnen schreibt, dann kann 
man die Organisation","falsch, problematischen, wichtigen, falsch, abgelehnt, gute"
Stephan Grüger,SPD,['sicher']," Von Industriepolitik haben 
Sie keine Ahnung!) 

Ich bin aber der festen Überzeugung, wir nutzen die Chancen 
der Globalisierung nicht durch Renationalisierung, und 
wir begegnen den Herausforderunge",sicher
"Manfred 
Pentz",CDU,['sichere']," Und was hat Frau Wagenknecht so gesagt?) 

Frau Ministerin, Sie sprachen von europäischen Werten 
wie Demokratie, Meinungs- und Pressefreiheit. Aber leider 
erwähnten Sie den ungarischen Ministerpräs",sichere
Michael Boddenberg,CDU,"['falschen', 'gute']"," 
Wer regiert eigentlich in Griechenland? Wer regiert 
in Italien? Sie mit Ihrer Doppelmoral!) 

Frau Ministerin, die Entwicklungszusammenarbeit haben 
Sie übrigens in Ihrer Regierungserklärung nicht ","falschen, gute"
Jürgen Frömmrich,GRUENE,['gut']," 
Ach ja!) 

Geben Sie endlich zu, dass Gerichte, Staatsanwaltschaften 
und Polizei unter chronischer Personalnot leiden. 

Zweitens. Sehr geehrte Frau Ministerin, ich möchte gern 
von Ihnen eine ganz",gut
Michael Boddenberg,CDU,['unkontrollierten']," Gehen Sie doch zu Ihren 
Parteifreunden bei der FPÖ!) 

Hinzu kommt ein massiver Personalaufwuchs bei Polizei, 
Justiz sowie in der Landes- und der Kommunalverwaltung. 

(Unruhe  Glockenzeichen) 

",unkontrollierten
Norbert Bartelt,CDU,['notwendig']," 

Verehrte Frau Präsidentin, meine Damen und Herren! Impfen 
war in den letzten Jahren mehrmals Thema von Landtagsdebatten. 
2009/2010 beschäftigten wir uns mit der Influenza 
A (H1N1), auch als Schw",notwendig
Walter Wissenbach,AfD,['gut']," 

Herr Präsident, meine Damen und Herren! Dies ist nicht 
mein Redemanuskript. Zu dieser Zeit lese ich nichts vor. 
Es hört eh keiner zu, wenn man nur vorliest. Ich will nur 
noch einmal kurz darauf ",gut
Christiane Böhm,LINKE,['gut']," 

Ich werde Ihnen gern diese mir vorliegenden Antworten 
weiterleiten. Die Frage ist: Was bedeutet denn eine Bearbeitungszeit 
von mehreren Monaten, und wie sieht die Arbeitssituation 
bzw. die Perso",gut
Elke Barth,SPD,['gut']," Von wem reden 
Sie denn?) 

Natürlich wollte ich wissen, wo sie Ungerechtigkeit erfahren 
haben. Darauf haben sie mir erzählt, dass sie von 
Landsleuten  ich zitiere  als Idioten bezeichnet wurden,",gut
Erich Vohl,AfD,['gut']," 

Sehr geehrter Herr Präsident, sehr geehrte Abgeordnete! 
Sehr geehrter Herr Finanzminister, Ihr neuer Haushaltsplan 
sieht 485 Millionen  Mehrausgaben vor, obwohl die Prognosen 
für Steuereinnahme",gut
Erich Vohl,AfD,"['gute', 'illegaler']"," 

Sehr geehrter Herr Präsident, meine Damen und Herren 
Abgeordnete! Beratung ist grundsätzlich eine gute Sache. 
Lassen Sie mich gleich zu Anfang feststellen: Wir sind 
ganz gewiss nicht gegen eine ","gute, illegaler"
Nancy Faeser,SPD,['wichtig']," 

Herr Präsident, meine Damen und Herren! Wir trauern um 
unseren ehemaligen Landtagskollegen und Regierungspräsidenten 
Dr. Walter Lübcke. Unsere Anteilnahme und unser 
Mitgefühl gelten seiner Famil",wichtig
Janine Wissler,LINKE,['gefährlichen']," 

Herr Präsident, meine Damen und Herren! Wir sind bestürzt 
und betroffen über den Mord an unserem ehemaligen 
Landtagskollegen und Kasseler Regierungspräsidenten 
Walter Lübcke. Nach allem, was wir",gefährlichen
Hermann Schaus,LINKE,['abgelehnt']," 

Herr Präsident, wir bitten darum, Ziffer 4 des Antrags der 
vier Fraktionen getrennt abzustimmen. 

Vizepräsident Dr. Ulrich Wilken: 

Ich rufe als Erstes den Dringlichen Entschließungsantrag 
der ",abgelehnt
Janine Wissler,LINKE,['sichere']," Ja!) 

Dessen müssen wir uns bewusst sein, und deshalb muss für 
die schreckliche Situation dieser flüchtenden Menschen eine 
schnelle Lösung gefunden werden, und man sollte nicht 
erst die Aufnahme ",sichere
Volker Richter,AfD,"['wichtig', 'notwendig', 'humanitäre']"," 

Sehr geehrter Herr Präsident, meine sehr verehrten Damen 
und Herren, sehr geehrte Besucher! Die LINKEN sind aus 
politischer Sicht manchmal fast zu beneiden. Sie können 
sich ihr Weltbild in einer","wichtig, notwendig, humanitäre"
