speaker,party,adjectives,text_preview,adjectives_str
Saadet Sönmez,LINKE,['wichtig']," 

Frau Präsidentin, meine Damen und Herren! In unserer 
letzten Debatte über diesen Gesetzentwurf habe ich versucht, 
auszuführen, warum wir diesen Staatsvertrag ablehnen. 
Eigentlich ist es ganz kla",wichtig
Ulrich Wilken,LINKE,"['gefährlich', 'falsch']"," Unter Applaus 
der AfD!) 

 Das ist natürlich ein Totschlagargument. 
Wir ringen nach Lösungen zur Aufrechterhaltung unseres 
Asylsystems. Ich kann die Wahrheit nicht ausblenden; ich 
denke, ich bem","gefährlich, falsch"
Saadet Sönmez,LINKE,"['gut', 'gut', 'gut']"," Sie haben das Recht, 
richtigzustellen, aber keine Zurechtweisung!  Fort

gesetzte Zurufe der LINKEN: Wir können uns inhaltlich 
auseinandersetzen, aber keine Zurechtweisungen! 
 Unruhe  Glockenze","gut, gut, gut"
Jan Schalauske,LINKE,"['guten', 'gut', 'gut']"," 

Frau Präsidentin, meine Damen und Herren! Im guten alten 
Duden heißt es: jemand, der an Unternehmungen anderer 
Anteil hat, davon zu profitieren versucht, ohne selbst etwas 
dafür zu tun  einen","guten, gut, gut"
Norbert Bartelt,CDU,['gut']," 

Sehr geehrter Herr Präsident, meine Damen und Herren! In 
den Gesundheitsämtern der Kreise und kreisfreien Städte 
fehlt es an Personal. Dies wurde in der Corona-Krise besonders 
deutlich. Die Nach",gut
Robert Lambrou,AfD,['falsche']," Das ist doch Unsinn!) 

Das ist das genaue Gegenteil unserer Politik. Wir wollen 
einen bildungspolitischen Aufbruch, und dieser ist eben 
auch an den Hochschulen zu verorten. 

(Beifall CDU und BÜND",falsche
Gegenruf Lisa Gnadl,SPD,"['gute', 'gut', 'gut', 'wichtig']"," Im Ausschuss 
hat der Minister gar nichts dazu gesagt!) 

 Das war nur ein frommer Wunsch, aber keine Antwort  
weder im Ausschuss noch hier. Wir werden sehen, ob die 
Antwort heute noch kommt. 

(","gute, gut, gut, wichtig"
Tobias Eckert,SPD,"['wichtigen', 'wichtig', 'wichtig', 'gescheitert', 'sicher', 'notwendigen', 'gute']"," Man muss es nicht nur wollen, 
man muss es auch können!) 

Vizepräsident Dr. h.c. Jörg-Uwe Hahn: 

Vielen Dank.  Herr Staatsminister Klose hat das Wort. 

Kai Klose, Minister für Soziales und Integr","wichtigen, wichtig, wichtig, gescheitert, sicher, notwendigen, gute"
Tilo Becher,SPD,"['gut', 'gut', 'wichtig', 'gut']"," 

Sehr geehrter Herr Präsident, sehr geehrte Damen und Herren! 
Gelebte Humanität steht im Mittelpunkt hessischer 
Asyl- und Flüchtlingspolitik. So beschreibt es der schwarz-
grüne Koalitionsvertrag.","gut, gut, wichtig, gut"
Taylan Burcu,GRUENE,"['integriert', 'integriert', 'gute', 'sicher']"," 

Verehrter Herr Präsident, meine Damen und Herren! Lieber 
Kollege Becher, über das Landesaufnahmeprogramm 
werden wir morgen sprechen. Einen Satz möchte ich der 
Debatte trotzdem vorwegnehmen und h","integriert, integriert, gute, sicher"
Ismail Tipi,CDU,"['wichtige', 'gut', 'wichtig', 'notwendig', 'wichtigen', 'wichtig']"," 

Sehr geehrter Herr Präsident, liebe Kolleginnen und Kollegen! 
Menschenrechte und gelebte Humanität sind wichtige 
Elemente der hessischen Asyl- und Flüchtlingspolitik. Dasist im Koalitionsvertrag ","wichtige, gut, wichtig, notwendig, wichtigen, wichtig"
Ismail Tipi,CDU,['wichtig']," 

Danke, Herr Präsident.  Auch die hessischen Landkreise 
begrüßen insbesondere die vereinbarte jährliche Anhebung 
der Pauschalen und die mit der Auszahlung eines einmaligen 
Integrationsgelds einh",wichtig
Volker Richter,AfD,"['notwendig', 'gescheitert', 'gut', 'sicheren']"," 

Sehr verehrter Herr Präsident, meine sehr verehrten Damen 
und Herren! Das Gesetz über die Aufnahme und Unterbringung 
von Flüchtlingen und anderen ausländischen Personen 
tritt zum Ende dieses Jah","notwendig, gescheitert, gut, sicheren"
Gegenruf Robert Lambrou,AfD,"['gut', 'gut', 'gut']"," Schauen 
Sie sich die Umfragen an!  Unruhe  Glockenzeichen) 

Ich zitiere jetzt: 

Sofern anerkannte Flüchtlinge aufgrund dieses neuen 
Beendigungstatbestands in Abs. 3 aus einer kommunalen 
Unterk","gut, gut, gut"
Saadet Sönmez,LINKE,"['gut', 'wichtig']"," 

Herr Präsident, meine Damen und Herren! Seit Wochen 
gehen auch in Deutschland Menschen auf die Straße und 
demonstrieren mit dem Slogan Black lives matter gegen 
Rassismus und fordern einen grun","gut, wichtig"
Turgut Yüksel,SPD,"['fremd', 'fremden', 'fremden', 'falsch']"," 

Herr Präsident, liebe Kolleginnen und Kollegen! Der 
Kampf gegen Rassismus erfordert einen langen Atem und 
eine klare Haltung. Jede und jeder Einzelne muss einen 
Beitrag dazu leisten, damit Rassi","fremd, fremden, fremden, falsch"
Saadet Sönmez,LINKE,"['humanitäre', 'notwendig']"," 

Vielen Dank. 

(Beifall DIE LINKE und vereinzelt SPD) 

Vizepräsidentin Heike Hofmann: 

Damit ist diese Aktuelle Stunde abgehalten. 

Wir kommen zu Tagesordnungspunkt 97: 

Antrag Aktuelle StundeF","humanitäre, notwendig"
Gegenruf Jan Schalauske,LINKE,"['abgelehnt', 'gut', 'gut', 'gute']"," Wo 
denn?) 

ich will sie nicht alle nach Hessen holen, und die wenigsten 
von ihnen wollen auch nach Hessen. Fast 46 Millionen 
von diesen Menschen sind nämlich innerhalb des eigenen 
Landes auf der","abgelehnt, gut, gut, gute"
Taylan Burcu,GRUENE,"['humanitäre', 'gut', 'schutzbedürftige']"," 

Verehrte Frau Präsidentin, meine Damen und Herren! Lieber 
Kollege Herr Becher, Sie haben es einleitend richtig 
und ausführlich dargestellt: Die Zahl der Menschen, die 
vor Krieg, vor Gewalt, vor ","humanitäre, gut, schutzbedürftige"
Yanki Pürsün,FDP,"['legale', 'fremde']"," 

Sehr geehrte Frau Präsidentin, liebe Kolleginnen und Kollegen! 
Letztes Jahr, nahezu zur gleichen Zeit, haben wir 
über einen Dringlichen Antrag der Regierungsfraktionen 
beraten, einen Dringlichen","legale, fremde"
Ismail Tipi,CDU,"['humanitäre', 'notwendig']"," 

Hochverehrte Frau Präsidentin, liebe Kolleginnen und Kollegen! 
Um ehrlich zu sein, war ich über diesen Antrag der 
SPD zu dieser Aktuellen Stunde doch sehr verwundert. Immerhin 
haben wir erst ges","humanitäre, notwendig"
Gernot Grumbach,SPD,"['sichere', 'notwendig']"," So sehr ärgert es Sie?) 

Wir stehen dafür, dass man mit Bedacht und Verstand 
Flüchtlinge aufnimmt und nicht kopflos handelt. Wenn es 
um die Menschen geht, warten wir nicht auf einen Antrag 
der Op","sichere, notwendig"
Volker Richter,AfD,"['humanitär', 'humanitäre']"," 

Sehr geehrte Frau Präsidentin, meine sehr verehrten Damen 
und Herren! Vorab: Den Satz Das Boot ist voll habe 
nicht ich gestern verwendet, den habe ich auch nicht benutzt, 
der kommt von Otto Sc","humanitär, humanitäre"
Frank Grobe,AfD,['kriminellen']," Aha! Hört, hört!) 

Genau in diese Richtung scheint sich Deutschland zu entwickeln. 
Man muss kein Prophet sein, um erkennen zu 
können, dass die Zahl der Angriffe auf unsere Polizei und 
Einsatz-als",kriminellen
Jan Schalauske,LINKE,['unkontrollierte']," Schön, dass Sie Zeitung lesen!) 

vermutlich ganz im Sinne der Altparteien und ihrer Willkommenskultur. 

(Beifall AfD) 

Auf diese Sprachregelung scheint man sich jedenfalls auch 
in der Politik und",unkontrollierte
Hermann Schaus,LINKE,['gut']," 

Herr Präsident, meine sehr geehrten Damen und Herren! 
Die Frage, welche persönlichen Informationen die Kandidatinnen 
und Kandidaten bei Kommunalwahlen angeben 
müssen, verdient eine sorgfältige B",gut
Volker Richter,AfD,['gut']," 

Sehr verehrter Herr Präsident, meine sehr verehrten Damen 
und Herren! In der dritten Lesung dieses Gesetzentwurfs 
gilt es, das Gleiche zu kritisieren wie in der zweiten Lesung. 
Insofern muss man",gut
Torsten Warnecke,SPD,"['falsch', 'abgelehnt', 'abgelehnt', 'gute']"," 

Sehr geehrter Herr Präsident, liebe Kolleginnen und Kollegen! 
Herr Pentz, keine Schärfe. Ich glaube, die Diskussion 
war bislang sachlich, nicht nur am heutigen Tage. Wenn 
Positionen, wie sie auc","falsch, abgelehnt, abgelehnt, gute"
Saadet Sönmez,LINKE,['legalen']," 

Herr Präsident, meine Damen und Herren! Stellen Sie sich 
vor, Sie sind krank, müssten eigentlich zum Arzt gehen, 
können das aber nicht tun, weil Sie keine Krankenversiche

rung haben. So geht es ",legalen
Nancy Faeser,SPD,"['notwendige', 'falsch', 'falsch', 'notwendigen', 'notwendigen', 'gut']"," 

Herr Präsident, meine Kolleginnen und Kollegen, sehr geehrte 
Damen und Herren! Herr Ministerpräsident, ich teile 
vieles von der Situationsbeschreibung, die Sie vorhin gemacht 
haben. Es ist die g","notwendige, falsch, falsch, notwendigen, notwendigen, gut"
Saadet Sönmez,LINKE,"['wichtig', 'wichtige', 'wichtigen', 'gut', 'wichtige', 'gut', 'wichtige', 'qualifiziert']"," Die gehen auch weiter, ich habe 
schon wieder einen Termin!) 

Aber kommen wir zurück zur Großen Anfrage. Die Rahmenbedingungen, 
in denen Familien und Kinder leben, haben 
sich in den vergangenen Ja","wichtig, wichtige, wichtigen, gut, wichtige, gut, wichtige, qualifiziert"
Lisa Gnadl,SPD,"['wichtig', 'gute', 'guten', 'gut', 'sicher']"," Die Welt steht nicht still!  Zuruf 
Yanki Pürsün (Freie Demokraten)) 

 Sie stand still.  Ich muss ganz ehrlich sagen, meines Erachtens 
ist das Thema rund um die Hebammen viel zu 
wichtig, 
(Zuru","wichtig, gute, guten, gut, sicher"
Birgit Heitland,CDU,"['qualifizierte', 'gute', 'gut', 'notwendig', 'gute']"," 

Sehr geehrter Herr Präsident, liebe Kolleginnen und Kollegen! 
Die Freien Demokraten fordern: Schulabsolventen 
und Ausbildungsbetrieben eine Perspektive geben. Duale 
Ausbildung in der Corona-Kri","qualifizierte, gute, gut, notwendig, gute"
Günter Rudolph,SPD,['wichtig']," 

Herr Präsident, meine sehr verehrten Damen und Herren, 
liebe Kolleginnen und Kollegen! Was wir von der AfD erlebt 
haben, ist nicht der Versuch, sich mit einem Thema 
wie Moral auseinanderzusetzen",wichtig
Elisabeth Kula,LINKE,"['gut', 'wichtig', 'guten']"," Was wissen Sie denn 
über diese 5 %? Sie wissen doch gar nicht, warum 
sie nicht kommen!) 

Sämtliche Studien belegen  PISA, IQB, IGLU , dass die 
Korrelation zwischen Sprache und schulischem Erfol","gut, wichtig, guten"
Heiko Scholz,AfD,['falsch']," 

Die damit einhergehende Möglichkeit der Verhängung einer 
Geldbuße ist nicht zuletzt angesichts der ökonomischen 
Situation vieler der davon betroffenen Eltern ein denkbar 
stumpfes Schwert. 

Herr",falsch
Elisabeth Kula,LINKE,"['notwendig', 'gut', 'problematisch', 'notwendigen', 'notwendig', 'notwendigen', 'gut']"," 

Sehr geehrter Herr Präsident, meine Damen und Herren! 
Heute soll ein Gesetzentwurf der regierungstragenden 
Fraktionen verabschiedet werden, für den die Oppositioneine Anhörung einfordern musste, ","notwendig, gut, problematisch, notwendigen, notwendig, notwendigen, gut"
Christiane Böhm,LINKE,['wichtig']," Bravo!) 

Die Vorlaufkurse in der Schule werden von vielen der Anzuhörenden 
eben nicht als die beste Möglichkeit der 
Sprachförderung gesehen. Stattdessen wünscht sich z. B. 
das Evangelische Büro H",wichtig
Eva Goldbach,GRUENE,['wichtigen']," 

Sehr geehrter Herr Präsident, sehr geehrte Kolleginnen und 
Kollegen! Wir haben gerade gehört, die AfD will den 

9. November zum Schicksalstag der Deutschen erklären. 
Einen Schicksalstag der De",wichtigen
Robert Lambrou,AfD,['sicheren']," 

Sehr geehrter Herr Präsident, sehr verehrte Damen und 
Herren! Einige Migranten in Moria auf der griechischen 
Insel Lesbos zündeten am Abend des 8. September ihr Lager 
an. Es brannte fast komplet",sicheren
Taylan Burcu,GRUENE,"['schutzbedürftige', 'schutzbedürftige', 'abgelehnt', 'abgelehnt', 'gut']"," 

Verehrter Herr Präsident, meine Damen und Herren! Liebe 
Kollegin Sönmez, ich gebe Ihnen recht. Die Situation auf 
Moria war und ist nach wie vor eine Katastrophe. Und leider 
Gottes handelt es sic","schutzbedürftige, schutzbedürftige, abgelehnt, abgelehnt, gut"
Saadet Sönmez,LINKE,"['notwendige', 'gefährliche', 'legale', 'illegale', 'gefährliche']"," Das ist richtig!) 

Nach § 23 Aufenthaltsgesetz ist derzeit die oberste Landesbehörde 
nur im Einvernehmen mit dem Bundesinnenministerium 
berechtigt, eine Einreiseerlaubnis zu erteilen. 

(Beifall A","notwendige, gefährliche, legale, illegale, gefährliche"
Ismail Tipi,CDU,"['humanitären', 'schutzbedürftig', 'wichtig']"," 

Verehrter Herr Präsident, liebe Kolleginnen und Kollegen! 
Zu der Tragödie in Moria. Das war eine menschliche Tragödie, 
die uns allen tiefe Schmerzen zugefügt hat. Es war 
sehr unschön, was wir do","humanitären, schutzbedürftig, wichtig"
Sabine Waschke,SPD,['abgelehnt']," Ach nein, das geht also 
auch?) 

Für die Jahre 2020 und 2021 soll Berlin eine Aufnahme 
zugesagt werden  bzw. für zukünftige Aufnahmekontingente, 
die im Rahmen einer europäischen Lösung gerade 

v",abgelehnt
Robert Lambrou,AfD,"['abgelehnt', 'humanitären']"," Tja!) 

Insbesondere, wenn wir es mit Demokratien zu tun haben, 
sind solche Absprachen in der Regel schnell und konstruktiv 
möglich. Genau das hat im Falle von Griechenland 
stattgefunden. 

Ein La","abgelehnt, humanitären"
Saadet Sönmez,LINKE,['humanitären']," Sie hat die Position 
der griechischen Regierung vertreten!  Unruhe  
Glockenzeichen) 

Meine Damen und Herren, ich will hier noch einmal deutlich 
machen, dass wir in dieser Ausnahmesituation den ",humanitären
Volker Richter,AfD,"['gut', 'gut', 'guten']"," 

Sehr verehrter Herr Präsident, meine sehr verehrten Damen 
und Herren! Ein sehr schwerwiegendes Problem der Politik 
ist, dass nicht die Ursachen von Problemen bekämpft und 
systematisch angegangen","gut, gut, guten"
Nadine Gersberg,SPD,['gut']," 

Ein weiteres Ziel der AfD-Politik ist, vorhandene Unsicherheitsgefühle 
in der Bevölkerung gezielt zu verstärken 
und sie gegen Geflüchtete und Menschen mit Migrationshintergrund 
aufzustacheln  e",gut
Andreas Lichert,AfD,['falsch']," Erklären Sie doch einmal 
die Zahlen!) 

Selbstverständlich sind auch die in dem Antrag aufgestellten 
Behauptungen falsch. Gewalt gegen Frauen konzentriert 
sich mitnichten auf Menschen mit Migratio",falsch
Christiane Böhm,LINKE,['notwendig']," 

Danke sehr.  Meinen Sie die Frau von den Philippinen, 
die einen deutschen Mann geheiratet hat, der sie nach 
Deutschland holte? Der sie dann mit dem Baby hat sitzen 
lassen, weil sie doch nicht m",notwendig
Robert Lambrou,AfD,['gut']," Warum?) 

 Weil Sie alle über einen Kamm scheren, so, wie Sie das 
bei allen Themen tun. 
(Beifall Freie Demokraten, CDU, BÜNDNIS 90/
DIE GRÜNEN, SPD und DIE LINKE) 

Wir können und wollen nicht von",gut
Yanki Pürsün,FDP,['falsch']," Nur du zitierst 
falsch!) 

bevor Sie sich die Mühe machen, es wie beim letzten Mal 
zu verdrehen: 

(Yanki Pürsün (Freie Demokraten) schüttelt den 
Kopf.) 

Zu arbeiten ist kein Härtefall, Herr Koll",falsch
Ismail Tipi,CDU,"['gut', 'gut', 'wichtig', 'wichtigen', 'gut']"," 

Sehr geehrter Herr Präsident, liebe Kolleginnen und Kollegen! 
Nach der ersten Lesung des uns vorliegenden Gesetzentwurfs 
haben wir uns im Rahmen einer Anhörung noch 
einmal eingehend mit dem Land","gut, gut, wichtig, wichtigen, gut"
Tilo Becher,SPD,"['notwendige', 'gut', 'gut', 'ausreisepflichtig']"," 

Sehr geehrter Herr Präsident, sehr geehrte Kolleginnen und 
Kollegen! Mit der Debatte über das Zweite Gesetz zur Änderung 
des Landesaufnahmegesetzes haben wir die Möglichkeit, 
unsere Praxis bei d","notwendige, gut, gut, ausreisepflichtig"
Taylan Burcu,GRUENE,['notwendig']," Das 
hat sich in der Anhörung aber anders angehört!) 

Die Deckelung sollte von der Landesebene aus an die 
Kommunen weitergegeben werden. Wir halten es für sinnvoll, 
dass die Gebühr in der Verordnu",notwendig
Taylan Burcu,GRUENE,['falsch']," Ich 
habe das Protokoll vor mir! Sie können es nachlesen, 
Herr Kollege!) 

Dir sind die Flüchtlinge vollkommen egal. Du sprichst 
über eine Satzung, die du selbst mitbeschlossen hast. Wenn 
du meine",falsch
Taylan Burcu,GRUENE,['falschen']," Wenn man erwischt wird, 
reagiert man mit solchen Methoden! So ist Yanki 
Pürsün!) 

Nach dem Landesaufnahmegesetz gibt das Sozialministerium 
finanzielle Mittel an die Kommunen. Das versetzt die 
Ko",falschen
Volker Richter,AfD,['gut']," 

Sehr geehrter Herr Präsident, meine sehr verehrten Damen 
und Herren! Nach der Anhörung zu der geplanten Änderung 
des Landesaufnahmegesetzes wurde für uns von der 
AfD deutlich, dass man auch hier",gut
Lisa Gnadl,SPD,"['gut', 'gute', 'wichtig']"," Nein, das ist nicht wahr!) 

die seit 2015 eine ganz hervorragende Arbeit bei der Unterbringung 
machen. Deshalb sage ich noch einmal: Die 
Kommunen brauchen ein gewisses Maß an Flexibilität und 
kei","gut, gute, wichtig"
Tilo Becher,SPD,['gut']," 

Ganz entspannt. 

(Zurufe: Wir sind alle entspannt!) 

 Das ist gut. Es klingt ein bisschen anders, aber das macht 
nichts. 
(Unruhe  Glockenzeichen) 

Ich möchte dem Herrn Minister zurufen, dass",gut
Wolfgang Decker,SPD,"['gut', 'gute']"," Ja, das sind heute die 
Flüchtlinge!) 

Wir hatten nämlich keine Diskussion darüber, dass es eine 
Grundsicherung, ein soziales Recht ist, dass es eines Mindestmaßes 
an Auskommen bedarf und dass sic","gut, gute"
Dimitri Schulz,AfD,['gute']," 

Verehrter Herr Präsident, verehrte Kollegen, verehrte Damen 
und Herren Minister! Bei Gesetzentwürfen der Regierung 
lohnt es sich kaum, jemanden noch vom Gegenteil 
überzeugen zu wollen. Der Entwu",gute
Jan Schalauske,LINKE,"['gute', 'notwendige', 'gut', 'gut', 'gut']"," 

Herr Präsident, vielen Dank.  Ich will zu den Bemerkungen 
des Vorredners nur eines sagen: Es gibt sicherlich viele 
gute Gründe, die Wohnungspolitik der schwarz-grünen 
Landesregierung zu kritisi","gute, notwendige, gut, gut, gut"
Yanki Pürsün,FDP,"['notwendig', 'wichtig']"," 

Sehr geehrte Frau Präsidentin, meine sehr verehrten Kolleginnen 
und Kollegen! Um es vorweg zu sagen: Die vorliegende 
Novellierung ist notwendig und konsequent. Wir 
stimmen ihr zu. 

(Beifall Fre","notwendig, wichtig"
Taylan Burcu,GRUENE,"['wichtige', 'wichtige']"," 

Sehr verehrter Herr Präsident, meine Damen und Herren! 
Mit dem Landesaufnahmegesetz überträgt das Land, was 
die Aufnahme und die Unterbringung von Schutzsuchenden 
angeht, bestimmte Aufgaben den ","wichtige, wichtige"
Ismail Tipi,CDU,"['wichtig', 'wichtig', 'wichtig', 'guten']"," 

Hochverehrter Herr Präsident, meine Damen und Herren! 
Wir behandeln heute den Gesetzentwurf zum Landesaufnahmegesetz 
in dritter Lesung. Wir haben bereits ausführlich 
über die Details gesprochen,","wichtig, wichtig, wichtig, guten"
Yanki Pürsün,FDP,['falsch']," 

Sehr geehrter Herr Präsident, liebe Kolleginnen und Kollegen! 
Zur zweiten Lesung habe ich meine Rede mit folgendem 
Satz begonnen: Wir Freie Demokraten legen Wert 
auf die Ergebnisse der Anhörung",falsch
Tilo Becher,SPD,['gut']," 

Danke, Herr Präsident.  Sehr geehrter Herr Präsident, sehr 
geehrte Damen und Herren! Bei dem Feedback, dass Sie, 
Herr Minister Klose, bei der Anhörung bekommen haben, 
müsste es eine Selbstverst",gut
Robert Lambrou,AfD,['gut']," Eine zweite Welle!) 

Ich rede  das will ich deutlich sagen  hier überhaupt 
nicht von Missständen oder Fehlern, sondern ich rede davon, 
dass diese Systeme eine ganz besondere Beachtung 
brauchen,",gut
Klaus Herrmann,AfD,"['sicher', 'sicher', 'kriminelle']"," 

Frau Präsidentin, meine Damen und Herren! Sie alle werden 
sich noch an die Worte des Innenministers erinnern, 
die er bei der Vorstellung der Polizeilichen Kriminalstatistik 
im Februar dieses Jah","sicher, sicher, kriminelle"
Hermann Schaus,LINKE,['gut']," 

Frau Präsidentin, meine sehr geehrten Damen und Herren! 
Wir alle merken, dass der AfD-Fraktion die Themen ausgehen. 
Angst vor Flüchtlingen zu schüren, das klappt gerade 
nicht so gut. Die Maßnahm",gut
Arno Enners,AfD,['wichtig']," 

Frau Präsidentin, meine Damen und Herren! In Westdeutschland 
wurden nach dem Krieg Obdachlosensiedlungen 
zumeist an Stadträndern gegründet. In den 1960er-Jahren 
verbreitete sich zunehmend die Me",wichtig
Marius Weiß,SPD,['falsche']," Ich habe gewettet, 
dass Sie nur drei Minuten brauchen, um auf dieses 
Thema zu kommen! Ich habe die Wette verloren!) 

 Ich will Sie ja nicht enttäuschen.  Erste Tatsache: Der 
Bestand an Sozialmi",falsche
Jan Schalauske,LINKE,['wichtig']," 

Herr Präsident, meine Damen und Herren! Ich befürchte, 
dass der Redebeitrag des Mannes der Identitären Bewegung, 
Lichert, 

(Andreas Lichert (AfD) schüttelt den Kopf.) 

eben nicht das Ergebnis e",wichtig
Holger Bellino,CDU,"['fremde', 'notwendig', 'sichere', 'wichtig']"," Ja, wo leben 
Sie denn?) 
 Wir haben im Landtag, was die Zwischenrufe angeht, 
wieder einen Niveau-Limbo. 
Das deutsche Bildungssystem gleicht soziale Unterschiede 
nicht aus, sondern verstärkt sie.","fremde, notwendig, sichere, wichtig"
Jan Schalauske,LINKE,"['gute', 'gut', 'gut']"," Es steht nur nicht in 
der mittelfristigen Finanzplanung, wie Sie das zurückführen 
wollen!) 

Im Gegensatz zu manchen anderen Ländern, die ihre Entscheidungen 
zu verantworten haben, haben wir die Z","gute, gut, gut"
Marius Weiß,SPD,['gut']," Die letzten Reste davon!) 

Das zeigt, Protest lohnt sich und kann etwas verändern. 
Deswegen war auch die Bewegung im Dannenröder Wald 
nicht vergebens, auch wenn sie die Rodung des Waldes 
nicht ve",gut
Hermann Schaus,LINKE,"['gut', 'notwendig', 'gut']"," 

Herr Präsident, meine sehr geehrten Damen und Herren! 
Wir beraten heute erneut über Corona-bedingte Änderungen 
in den politischen Abläufen auf kommunaler Ebene. 
Als Ende März das Gesetz zur Sich","gut, notwendig, gut"
Klaus Herrmann,AfD,"['ausreisepflichtigen', 'abgelehnt', 'gut']"," 

Herr Präsident, meine Damen und Herren Abgeordnete! 
Sie werden sich sicherlich noch an die Haushaltsdebatte 
für das Jahr 2020 im Januar dieses Jahres erinnern. Das damalige 
ablehnende Regierungs","ausreisepflichtigen, abgelehnt, gut"
Holger Bellino,CDU,"['notwendig', 'qualifizierte', 'wichtige', 'illegal']"," Was ein Quatsch!) 

Beweise und Beispiele, die belegen, dass unsere Forderungen 
nicht nur sinnvoll, sondern dringend notwendig sind, 
gibt es genug. Bedenken Sie dabei auch, dass die innere Sicherhe","notwendig, qualifizierte, wichtige, illegal"
Saadet Sönmez,LINKE,"['gut', 'wichtig', 'gut', 'gut']"," 

Herr Präsident, meine Damen und Herren! Das auslaufende 
Jahr war für uns alle, aber insbesondere für die Migranten-
Community in Hessen, ein besonders schweres Jahr. 
Am 19. Februar kam es zu dem ","gut, wichtig, gut, gut"
Walter Wissenbach,AfD,"['wichtig', 'gut', 'notwendig', 'wichtige', 'gut', 'gut', 'notwendig', 'sicher']"," 

Frau Präsidentin, sehr geehrte Damen und Herren! Rechtsstaatlichkeit 
und Rechtssicherheit haben ihren Preis. Das 
gilt im wahrsten Sinne des Wortes. 

Nach zwei Jahren Oppositionsarbeit werden wir","wichtig, gut, notwendig, wichtige, gut, gut, notwendig, sicher"
Holger Bellino,CDU,['gute']," Reden Sie doch mal weiter! 

 Weitere Zurufe) 
 Ich würde gern weiterreden, Herr Bellino, aber ich finde 
diese Unruhe unglaublich. Man kommt kaum noch zu 
Wort, wenn man hier vorne am Pult steht, ",gute
Christiane Böhm,LINKE,['wichtig']," So ein Bullshit!  
Zuruf Saadet Sönmez (DIE LINKE)) 

während leider Gottes viele Täter genau diese Probleme 
nicht haben. Das halten wir, die Alternative für Deutschland, 
für eine himmelschreiende",wichtig
Nina Eisenhardt,GRUENE,"['wichtige', 'wichtig', 'wichtig', 'gute']"," 

Sehr geehrter Herr Präsident, meine sehr geehrten Damen 
und Herren! Kollege Grobe, wie wir heute der hessenschau 
entnehmen konnten, ist Ihr Ranking zum Glück seit 
der letzten Landtagswahl um 5","wichtige, wichtig, wichtig, gute"
Dimitri Schulz,AfD,['gute']," 

Verehrter Herr Präsident, verehrte Kollegen, verehrter Herr 
Minister Al-Wazir! Frau Förster-Heldmann, ich will nur 
darauf hinweisen, dass es morgen wahrscheinlich leider 
noch später als heute wi",gute
Jan Schalauske,LINKE,"['notwendigen', 'wichtig', 'wichtig', 'notwendig', 'wichtige']"," 

Vielen Dank, Herr Präsident.  Ich gehe davon aus, dass 
wir uns einig sind, dass die Probleme im Laufe des Winters 
eher noch zunehmen werden, dass Corona-Maßnahmen 
fortbestehen, ja, sogar noch v","notwendigen, wichtig, wichtig, notwendig, wichtige"
Christiane Böhm,LINKE,"['notwendig', 'gut', 'notwendig', 'notwendig', 'notwendig', 'abgelehnt']"," 

Sehr geehrter Herr Präsident, sehr geehrte Damen und Herren! 
Herr Minister, Sie sagen, Sie wollen nicht, dass Menschen 
wegen fehlender Krankenversicherung gesundheitlich 
unterversorgt werden. Zu","notwendig, gut, notwendig, notwendig, notwendig, abgelehnt"
Ines Claus,CDU,"['gut', 'sicher']"," 

Sehr geehrte Frau Präsidentin, meine Damen und Herren! 
Vor ziemlich genau einem Jahr haben wir an dieser Stelle 
die Generaldebatte zum Haushalt geführt. Der Ministerpräsident 
hat damals seine Re","gut, sicher"
Felix Martin,GRUENE,"['falsch', 'falsch', 'falsch', 'gut', 'gut', 'gut', 'gut']"," 

Herr Präsident, liebe Kolleginnen und Kollegen! Ja, am 14. 
März sind Kommunalwahlen. Ich finde es schon sehr amüsant, 
dass uns vorgeworfen wird, mit diesem Antrag Kommunalwahlkampf 
zu machen, un","falsch, falsch, falsch, gut, gut, gut, gut"
Saadet Sönmez,LINKE,['gut']," 

Ob die Entscheidungspraxis des BAMF so viel mit geltendem 
Recht zu tun hat, kann man in dieser Beziehung auch 
gut bezweifeln. 

(Zuruf Alexander Bauer (CDU)) 

Meine Damen und Herren, noch eine g",gut
Janine Wissler,LINKE,['schutzbedürftige']," Lebenswirklichkeiten 
in Afghanistan?) 

welche Bedeutung konsequentes Staatshandeln hat, gerade 
um einer Destabilisierung in dieser Gesellschaft entgegenzuwirken. 

Es geht auch um die Schutzbedürf",schutzbedürftige
Thomas Hering,CDU,"['abgelehnten', 'ausreisepflichtig', 'wichtig', 'humanitäre', 'humanitäre', 'schutzbedürftige']"," 

Denn ich sehe die Gefahr, dass diese Berührungsängste 
und diese Vorurteile von gewissen Strömungen noch weiter 
geschürt und instrumentalisiert werden könnten.  Danke 
schön. 

(Beifall CDU und v","abgelehnten, ausreisepflichtig, wichtig, humanitäre, humanitäre, schutzbedürftige"
